SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532842,SREE RAYALA ,B ,Q,143.60,148.55,143.50,145.50,146.00,146.55,32,1593,231772.00,
532843,FORTIS      ,A ,Q,138.00,138.00,120.60,123.40,123.40,142.45,63662,14375040,1842205071.00,
532845,TGBHOTELS   ,B ,Q,37.25,37.25,36.00,36.95,36.95,38.10,72,7046,258701.00,
532847,HILTON MET  ,B ,Q,27.95,27.95,26.75,26.80,26.75,27.95,70,12183,332335.00,
532848,DELTA CORP  ,A ,Q,294.70,294.70,240.05,250.35,250.35,298.25,24408,2265160,596572936.00,
532850,MIC ELECTRON,T ,Q,4.94,4.95,4.56,4.86,4.85,4.74,109,129760,625844.00,
532851,INSECTCID   ,B ,Q,711.35,711.35,685.70,688.25,688.25,707.85,190,1202,837620.00,
532852,MCD HOLDING ,B ,Q,39.65,40.95,39.30,39.85,40.95,40.95,58,6925,274574.00,
532853,ASAHI SONG  ,B ,Q,323.15,339.00,323.15,328.05,328.00,337.35,105,6679,2195219.00,
532854,NITIN FIRE  ,B ,Q,4.09,4.21,4.08,4.19,4.21,4.01,229,213449,893772.00,
532855,HARYA CAPFIN,X ,Q,42.00,42.00,41.95,41.95,41.95,40.00,2,5,209.00,
532856,TIME TECHNO ,A ,Q,160.45,162.50,155.00,159.55,158.65,160.85,358,32992,5322056.00,
532859,HGSL        ,B ,Q,816.00,821.90,801.00,815.75,821.90,804.65,67,1016,824794.00,
532864,NELCAST     ,B ,Q,79.35,82.45,79.30,81.25,81.05,80.55,84,5426,440069.00,
532865,MEGHMANI    ,B ,Q,86.55,86.55,83.90,84.50,84.50,86.55,807,155562,13207488.00,
532867,V2RETAIL    ,B ,Q,425.00,425.60,412.45,417.45,415.00,429.30,216,8553,3589380.00,
532868,DLF LIMITED ,A ,Q,205.00,207.65,201.00,201.55,201.55,207.10,2137,296030,60363188.00,
532869,TARMAT      ,B ,Q,40.80,41.25,38.60,39.20,40.50,40.60,157,11188,446233.00,
532871,CELESTIAL   ,B ,Q,14.10,14.10,12.80,13.15,13.15,13.80,112,21788,288975.00,
532872,SUNPHA ADV  ,A ,Q,387.05,387.70,376.10,378.35,378.35,389.20,466,15601,5963975.00,
532873,HOUSING DEV ,A ,Q,39.10,40.15,38.35,38.65,38.65,39.30,2920,1364489,53388457.00,
532874,SURYACHAKRA ,XT,Q,0.77,0.84,0.76,0.76,0.76,0.80,49,84298,64887.00,
532875,ALLIED DIGIT,B ,Q,19.25,20.00,19.25,19.90,20.00,19.05,17,5256,104224.00,
532877,SIMPLEX PROJ,B ,Q,23.45,23.45,22.00,22.25,23.00,22.70,19,5318,121434.00,
532878,ALPA LAB    ,B ,Q,38.00,39.75,37.20,38.90,39.30,38.15,37,6216,240470.00,
532879,SIR SHADI LA,X ,Q,39.00,41.50,38.10,40.00,40.00,42.00,12,1983,79565.00,
532880,OMAXE LTD   ,A ,Q,220.85,222.25,220.50,220.70,220.75,221.00,1045,111311,24609354.00,
532883,ZYLOG SYSTEM,T ,Q,2.82,2.82,2.56,2.56,2.56,2.69,49,39410,101501.00,
532884,REFEX       ,B ,Q,15.40,15.55,15.10,15.10,15.10,15.50,6,4010,61422.00,
532885,CENTRAL BK  ,A ,Q,70.00,76.35,70.00,73.50,73.50,72.40,2261,753326,55154462.00,
532886,SEL MANUF   ,B ,Q,2.00,2.10,1.92,1.94,1.94,2.02,67,101319,204536.00,
532887,NTL         ,T ,Q,3.09,3.40,3.09,3.13,3.10,3.25,13,11072,35472.00,
532888,ASIAN GRANIT,B ,Q,450.90,460.00,449.20,450.95,455.00,445.90,317,6765,3066543.00,
532889,K.P.R. MILL ,A ,Q,640.60,643.30,632.30,633.85,632.30,640.55,50,5623,3596902.00,
532890,TAKE SOLUT  ,B ,Q,164.00,167.55,160.20,163.45,162.60,164.20,144,5816,958623.00,
532891,PURAVANKARA ,B ,Q,140.00,140.15,138.20,138.85,138.85,141.35,172,12148,1690259.00,
532892,MOTILALOFS  ,A ,Q,1009.00,1024.70,995.45,1005.90,1004.00,1008.85,419,55059,56196351.00,
532893,VTM LTD     ,X ,Q,27.95,27.95,27.00,27.05,27.05,27.85,39,8310,227391.00,
532894,IWIND ENERGY,T ,Q,7.62,7.64,7.30,7.34,7.34,7.57,25,7813,57447.00,
532895,NAGREKA CAP ,B ,Q,32.15,34.90,32.15,33.50,33.50,33.50,10,1360,46023.00,
532896,MAGNUM VENT ,B ,Q,10.00,10.20,9.49,9.96,9.98,9.98,43,22428,219837.00,
532898,POWER GRID  ,A ,Q,195.50,195.90,192.05,193.85,193.85,196.10,6147,1877458,364424185.00,
532899,KAVERI SEED ,A ,Q,482.70,491.20,470.00,484.85,481.85,484.30,670,438670,212936746.00,
532900,PAISALO     ,B ,Q,306.00,310.95,304.00,306.65,307.00,298.80,75,335,102312.00,
532902,CONSOL CONST,B ,Q,4.15,4.20,3.90,3.90,3.90,4.03,21,20071,79100.00,
532904,SUPREME INFR,B ,Q,56.95,57.55,52.10,52.50,52.50,57.85,177,144856,8020821.00,
532906,MAANALU     ,B ,Q,106.00,108.50,102.10,104.00,104.00,109.65,73,4155,435465.00,
532907,ILFSENGG    ,B ,Q,29.95,30.00,28.70,29.20,29.20,29.40,548,33271,981496.00,
532908,SHARON BIO  ,Z ,Q,5.59,5.73,5.40,5.52,5.47,5.46,34,19230,106528.00,
532911,PARLE SOFTWR,X ,Q,9.47,9.96,9.47,9.96,9.96,9.96,2,201,1903.00,
532914,ARCOTECH LTD,B ,Q,34.50,34.50,33.10,33.50,33.50,33.85,560,69049,2332506.00,
532915,RELIGARE ENT,A ,Q,52.60,54.50,51.55,54.10,54.10,52.65,1193,277152,14758965.00,
532916,BARAK VALL  ,T ,Q,28.50,28.50,27.40,28.00,28.00,28.50,7,1425,40329.00,
532918,RATHI BARS  ,XT,Q,24.25,24.25,22.80,23.05,22.80,24.00,29,2954,69209.00,
532919,ALLIED COMP ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,5,252,123.00,
532920,EMPEE DIST  ,T ,Q,30.95,30.95,28.50,28.50,28.50,30.00,88,28696,836544.00,
532921,ADANI PORTS ,A ,Q,365.30,365.30,350.20,354.65,354.65,365.35,2009,2633528,960990779.00,
532922,EDELWEISS   ,A ,Q,240.00,243.40,237.70,238.35,239.45,243.00,1719,146259,35033897.00,
532923,REN JEWELERY,B ,Q,316.00,316.00,310.10,311.25,310.10,321.90,15,201,63042.00,
532924,KOLTEPATIL  ,B ,Q,302.00,312.50,295.00,296.30,298.00,307.15,547,28723,8700518.00,
